Bowler,Matches,Wickets,Average,Economy,SR,Big,Performance
NJ Rimmington,1,0,20.0,6.67,0.0,0.0,0.0
NL McCullum,2,0,35.0,7.0,0.0,0.0,0.0
NLTC Perera,36,31,33.26,8.66,23.03,0.0833,0.0909
NM Coulter-Nile,25,36,20.53,7.78,15.83,0.24,0.3158
P Amarnath,6,7,34.43,10.95,18.86,0.0,0.0
P Awana,33,39,26.82,8.37,19.23,0.1212,0.1379
P Krishna,7,10,27.1,9.68,16.8,0.1429,0.1667
P Kumar,119,90,37.13,7.88,28.27,0.0252,0.0259
P Negi,38,31,27.45,7.81,21.1,0.0526,0.0556
P Parameswaran,8,9,25.11,8.37,18.0,0.125,0.1429
P Prasanth,1,0,18.0,18.0,0.0,0.0,0.0
P Sahu,5,3,50.67,8.44,36.0,0.0,0.0
P Suyal,5,2,77.0,9.62,48.0,0.0,0.0
PC Valthaty,10,7,29.57,7.96,22.29,0.1,0.1111
PD Collingwood,6,5,20.2,6.73,18.0,0.0,0.0
PJ Cummins,16,17,30.88,8.61,21.53,0.0,0.0
PJ Sangwan,39,35,34.34,8.97,22.97,0.0769,0.0833
PM Sarvesh Kumar,2,1,42.0,8.4,30.0,0.0,0.0
PP Chawla,143,139,26.92,7.8,20.72,0.0769,0.0833
PP Ojha,90,89,26.96,7.54,21.44,0.0556,0.0588
PV Tambe,33,28,30.93,7.87,23.57,0.0606,0.0645
Pankaj Singh,17,11,42.91,9.44,27.27,0.0,0.0
Parvez Rasool,11,4,68.25,8.27,49.5,0.0,0.0
R Ashwin,122,110,27.05,6.85,23.67,0.041,0.0427
R Bhatia,91,71,29.0,7.51,23.15,0.044,0.046
R Dhawan,25,18,36.39,7.99,27.33,0.0,0.0
R McLaren,18,12,46.5,9.46,29.5,0.0,0.0
R Ninan,2,3,21.67,10.83,12.0,0.0,0.0
R Rampaul,12,16,19.94,7.25,16.5,0.0833,0.0909
R Sathish,14,3,77.67,9.71,48.0,0.0,0.0
R Sharma,44,40,27.5,7.1,23.25,0.0227,0.0233
R Shukla,7,5,43.4,10.85,24.0,0.0,0.0
R Tewatia,15,12,26.5,7.4,21.5,0.0667,0.0714
R Vinay Kumar,104,105,28.98,8.5,20.46,0.0962,0.1064
RA Jadeja,126,93,30.81,7.83,23.61,0.0794,0.0862
RA Shaikh,1,0,11.0,11.0,0.0,0.0,0.0
RA Tripathi,1,0,12.0,12.0,0.0,0.0,0.0
RD Chahar,2,2,29.5,8.43,21.0,0.0,0.0
RE van der Merwe,21,21,24.52,6.96,21.14,0.0476,0.05
RG More,2,1,63.0,10.5,36.0,0.0,0.0
RG Sharma,30,15,29.93,8.02,22.4,0.0667,0.0714
RJ Harris,37,45,24.11,7.81,18.53,0.1622,0.1935
RJ Peterson,4,3,23.33,8.75,16.0,0.25,0.3333
RN ten Doeschate,10,2,47.0,7.23,39.0,0.0,0.0
RP Singh,82,90,26.86,8.08,19.93,0.1341,0.1549
RR Bhatkal,1,0,35.0,17.5,0.0,0.0,0.0
RR Bose,1,0,24.0,12.0,0.0,0.0,0.0
RR Powar,26,13,41.38,7.58,32.77,0.0,0.0
RR Raje,10,6,35.67,8.92,24.0,0.0,0.0
RS Bopara,14,11,27.36,8.6,19.09,0.0714,0.0769
RS Gavaskar,1,0,8.0,8.0,0.0,0.0,0.0
RV Gomez,9,5,26.0,8.12,19.2,0.0,0.0
RW Price,1,0,33.0,11.0,0.0,0.0,0.0
Rashid Khan,31,38,22.24,6.93,19.26,0.1613,0.1923
S Aravind,38,45,23.49,8.26,17.07,0.0789,0.0857
S Badree,12,11,29.91,7.65,23.45,0.0833,0.0909
S Dhawan,6,4,18.0,9.0,12.0,0.0,0.0
S Gopal,16,18,22.17,7.82,17.0,0.125,0.1429
S Kaul,38,43,27.58,8.66,19.12,0.1053,0.1176
S Kaushik,10,6,50.67,8.94,34.0,0.1,0.1111
S Ladda,9,5,45.0,9.78,27.6,0.0,0.0
S Lamichhane,3,5,18.2,7.58,14.4,0.3333,0.5
S Mavi,9,5,57.6,10.29,33.6,0.0,0.0
S Nadeem,59,40,37.42,7.41,30.3,0.0169,0.0172
S Narwal,6,5,40.6,11.28,21.6,0.1667,0.2
S Rana,3,0,18.0,6.0,0.0,0.0,0.0
S Randiv,8,6,37.17,7.69,29.0,0.0,0.0
S Sreesanth,44,40,30.52,8.25,22.2,0.0227,0.0233
S Sriram,2,0,49.0,16.33,0.0,0.0,0.0
S Tyagi,14,6,50.67,8.69,35.0,0.0,0.0
S Vidyut,1,1,22.0,11.0,12.0,0.0,0.0
SA Abbott,2,0,57.0,11.4,0.0,0.0,0.0
SA Yadav,1,0,8.0,8.0,0.0,0.0,0.0
SB Bangar,9,4,55.25,8.84,37.5,0.0,0.0
