Bowler,Matches,Wickets,Runs,Overs,Average,Economy,SR,BBI,3WI,Fours,Sixes
Mohammed Siraj,17,21,613,64,29.19,9.58,18.29,4/32,2,45,30
Mustafizur Rahman,24,24,697,92,29.04,7.58,23.0,3/16,2,56,22
N Rana,6,4,48,8,12.0,6.0,12.0,2/11,0,6,1
NB Singh,2,1,18,4,18.0,4.5,24.0,1/8,0,2,0
ND Doshi,4,2,79,10,39.5,7.9,30.0,1/15,0,5,6
NJ Rimmington,1,0,20,3,20.0,6.67,0.0,0/20,0,3,0
NL McCullum,2,0,35,5,35.0,7.0,0.0,0/12,0,1,2
NLTC Perera,36,31,1031,119,33.26,8.66,23.03,3/20,3,113,28
NM Coulter-Nile,25,36,739,95,20.53,7.78,15.83,4/21,6,86,20
P Amarnath,6,7,241,22,34.43,10.95,18.86,2/30,0,29,7
P Awana,33,39,1046,125,26.82,8.37,19.23,4/34,4,107,35
P Krishna,7,10,271,28,27.1,9.68,16.8,4/32,1,28,10
P Kumar,119,90,3342,424,37.13,7.88,28.27,3/18,3,338,104
P Negi,38,31,851,109,27.45,7.81,21.1,4/18,2,49,41
P Parameswaran,8,9,226,27,25.11,8.37,18.0,3/30,1,23,10
P Prasanth,1,0,18,1,18.0,18.0,0.0,0/18,0,0,3
P Sahu,5,3,152,18,50.67,8.44,36.0,2/18,0,11,5
P Suyal,5,2,154,16,77.0,9.62,48.0,1/22,0,16,5
PC Valthaty,10,7,207,26,29.57,7.96,22.29,4/29,1,15,7
PD Collingwood,6,5,101,15,20.2,6.73,18.0,2/19,0,4,3
PJ Cummins,16,17,525,61,30.88,8.61,21.53,2/22,0,47,16
PJ Sangwan,39,35,1202,134,34.34,8.97,22.97,3/19,3,118,43
PM Sarvesh Kumar,2,1,42,5,42.0,8.4,30.0,1/18,0,7,0
PP Chawla,143,139,3742,480,26.92,7.8,20.72,4/21,11,273,150
PP Ojha,90,89,2399,318,26.96,7.54,21.44,3/11,5,146,97
PV Tambe,33,28,866,110,30.93,7.87,23.57,4/20,2,64,28
Pankaj Singh,17,11,472,50,42.91,9.44,27.27,2/19,0,52,17
Parvez Rasool,11,4,273,33,68.25,8.27,49.5,1/20,0,22,11
R Ashwin,122,110,2975,434,27.05,6.85,23.67,4/34,5,177,106
R Bhatia,91,71,2059,274,29.0,7.51,23.15,4/15,4,120,68
R Dhawan,25,18,655,82,36.39,7.99,27.33,2/18,0,51,16
R McLaren,18,12,558,59,46.5,9.46,29.5,2/29,0,69,11
R Ninan,2,3,65,6,21.67,10.83,12.0,2/31,0,3,5
R Rampaul,12,16,319,44,19.94,7.25,16.5,3/31,1,25,14
R Sathish,14,3,233,24,77.67,9.71,48.0,1/11,0,18,10
R Sharma,44,40,1100,155,27.5,7.1,23.25,3/13,1,70,45
R Shukla,7,5,217,20,43.4,10.85,24.0,2/28,0,21,9
R Tewatia,15,12,318,43,26.5,7.4,21.5,3/18,1,13,18
R Vinay Kumar,104,105,3043,358,28.98,8.5,20.46,4/40,10,296,99
RA Jadeja,126,93,2865,366,30.81,7.83,23.61,5/16,10,177,121
RA Shaikh,1,0,11,1,11.0,11.0,0.0,0/11,0,2,0
RA Tripathi,1,0,12,1,12.0,12.0,0.0,0/12,0,2,0
RD Chahar,2,2,59,7,29.5,8.43,21.0,1/26,0,4,3
RE van der Merwe,21,21,515,74,24.52,6.96,21.14,3/20,1,25,17
RG More,2,1,63,6,63.0,10.5,36.0,1/35,0,5,1
RG Sharma,30,15,449,56,29.93,8.02,22.4,4/7,2,27,14
